"Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Date,Sales,Payment,cogs,Rating"
"750-67-8428,Trans Amadi,Portharcourt,Member,Female,Health and beauty,74.69,7,26.1415,24/03/14,548.9715,Ewallet,522.83,9.1"
"226-31-3081,Ikoyi,Lagos,Normal,Female,Electronic accessories,15.28,5,3.82,24/01/15,80.22,Cash,76.4,9.6"
"631-41-3108,Trans Amadi,Portharcourt,Normal,Female,Home and lifestyle,46.33,7,16.2155,24/02/15,340.5255,Credit card,324.31,7.4"
"373-73-7910,Trans Amadi,Portharcourt,Member,Female,Sports and travel,86.31,7,30.2085,24/03/26,634.3785,Ewallet,604.17,5.3"
"699-14-3026,Ikoyi,Lagos,Member,Female,Electronic accessories,85.39,7,29.8865,24/03/25,627.6165,Ewallet,597.73,4.1"
"355-53-5943,Trans Amadi,Portharcourt,Member,Female,Electronic accessories,68.84,6,20.652,24/03/08,433.692,Ewallet,413.04,5.8"
"315-22-5665,Ikoyi,Lagos,Member,Female,Home and lifestyle,73.56,10,36.78,24/03/13,772.38,Ewallet,735.6,8"
"665-32-9167,Trans Amadi,Portharcourt,Member,Female,Health and beauty,36.26,2,3.626,24/02/05,76.146,Credit card,72.52,7.2"
"692-92-5582, Ugbowo,Benin,Member,Female,Food and beverages,54.84,3,8.226,24/02/23,172.746,Credit card,164.52,5.9"
"351-62-0822, Ugbowo,Benin,Member,Female,Fashion accessories,14.48,4,2.896,24/01/14,60.816,Ewallet,57.92,4.5"
"529-56-3974, Ugbowo,Benin,Member,Female,Electronic accessories,25.51,4,5.102,24/01/25,107.142,Cash,102.04,6.8"
"365-64-0515,Trans Amadi,Portharcourt,Member,Female,Electronic accessories,46.95,5,11.7375,24/02/15,246.4875,Ewallet,234.75,7.1"
"252-56-2699,Trans Amadi,Portharcourt,Member,Female,Food and beverages,43.19,10,21.595,24/02/12,453.495,Ewallet,431.9,8.2"
"829-34-3910,Trans Amadi,Portharcourt,Member,Female,Health and beauty,71.38,10,35.69,24/03/11,749.49,Cash,713.8,5.7"
"299-46-1805, Ugbowo,Benin,Member,Female,Sports and travel,93.72,6,28.116,24/04/02,590.436,Cash,562.32,4.5"
"656-95-9349,Trans Amadi,Portharcourt,Member,Female,Health and beauty,68.93,7,24.1255,24/03/08,506.6355,Credit card,482.51,4.6"
"765-26-6951,Trans Amadi,Portharcourt,Member,Female,Sports and travel,72.61,6,21.783,24/03/12,457.443,Credit card,435.66,6.9"
"329-62-1586,Trans Amadi,Portharcourt,Member,Female,Food and beverages,54.67,3,8.2005,24/02/23,172.2105,Credit card,164.01,8.6"
"319-50-3348, Ugbowo,Benin,Member,Female,Home and lifestyle,40.3,2,4.03,24/02/09,84.63,Ewallet,80.6,4.4"
"300-71-4605,Ikoyi,Lagos,Member,Female,Electronic accessories,86.04,5,21.51,24/03/26,451.71,Ewallet,430.2,4.8"
"371-85-5789, Ugbowo,Benin,Member,Female,Health and beauty,87.98,3,13.197,24/03/27,277.137,Ewallet,263.94,5.1"
"273-16-6619, Ugbowo,Benin,Member,Female,Home and lifestyle,33.2,2,3.32,24/02/02,69.72,Credit card,66.4,4.4"
"636-48-8204,Trans Amadi,Portharcourt,Member,Female,Electronic accessories,34.56,5,8.64,24/02/03,181.44,Ewallet,172.8,9.9"
"549-59-1358,Trans Amadi,Portharcourt,Member,Female,Sports and travel,88.63,3,13.2945,24/03/28,279.1845,Ewallet,265.89,6"
"227-03-5010,Trans Amadi,Portharcourt,Member,Female,Home and lifestyle,52.59,8,21.036,24/02/21,441.756,Credit card,420.72,8.5"
"649-29-6775, Ugbowo,Benin,Member,Female,Fashion accessories,33.52,1,1.676,24/02/02,35.196,Cash,33.52,6.7"
"189-17-4241,Trans Amadi,Portharcourt,Member,Female,Fashion accessories,87.67,2,8.767,24/03/27,184.107,Credit card,175.34,7.7"
"145-94-9061, Ugbowo,Benin,Member,Female,Food and beverages,88.36,5,22.09,24/03/28,463.89,Cash,441.8,9.6"
"848-62-7243,Trans Amadi,Portharcourt,Member,Female,Health and beauty,24.89,9,11.2005,24/01/24,235.2105,Cash,224.01,7.4"
"871-79-8483, Ugbowo,Benin,Member,Female,Fashion accessories,94.13,5,23.5325,24/04/03,494.1825,Credit card,470.65,4.8"
